    342 многий	    ^многий/*многий$ 
      2 первопоэт	      ^первопоэт/*первопоэт$ 
      2 первоматерия	      ^первоматерия/*первоматерия$ 
      2 первоглаз	      ^первоглаз/*первоглаз$ 
      2 пенитенциалий	      ^пенитенциалий/*пенитенциалий$ 
      2 пениоцереус	      ^пениоцереус/*пениоцереус$ 
      2 Пелгер	      ^Пелгер/*Пелгер$ 
      2 Пациорковский	      ^Пациорковский/*Пациорковский$ 
      2 Пауэлл	      ^Пауэлл/*Пауэлл$ 
      2 паутинник	      ^паутинник/*паутинник$ 
      2 Патик	      ^Патик/*Патик$ 
      2 Пархаев	      ^Пархаев/*Пархаев$ 
      2 партократ	      ^партократ/*партократ$ 
      2 партконтроль	      ^партконтроль/*партконтроль$ 
      2 Паркс	      ^Паркс/*Паркс$ 
      2 парашютик	      ^парашютик/*парашютик$ 
      2 параметризация	      ^параметризация/*параметризация$ 
      2 Папалекси	      ^Папалекси/*Папалекси$ 
      2 Панчадхикарана	      ^Панчадхикарана/*Панчадхикарана$ 
      2 Паммелл	      ^Паммелл/*Паммелл$ 
      2 паззл	      ^паззл/*паззл$ 
      2 Пабло	      ^Пабло/*Пабло$ 
      2 ощипать	      ^ощипать/*ощипать$ 
      2 Ошеров	      ^Ошеров/*Ошеров$ 
      2 оцифрованный	      ^оцифрованный/*оцифрованный$ 
      2 оформленность	      ^оформленность/*оформленность$ 
      2 офлайновый	      ^офлайновый/*офлайновый$ 
      2 откель	      ^откель/*откель$ 
      2 ОТК	      ^ОТК/*ОТК$ 
      2 отдыхиваться	      ^отдыхиваться/*отдыхиваться$ 
      2 острогот	      ^острогот/*острогот$ 
      2 Остапенко	      ^Остапенко/*Остапенко$ 
      2 Осокин	      ^Осокин/*Осокин$ 
      2 оскар	      ^оскар/*оскар$ 
      2 оседлать	      ^оседлать/*оседлать$ 
      2 оргалитовый	      ^оргалитовый/*оргалитовый$ 
      2 Орбакайте	      ^Орбакайте/*Орбакайте$ 
      2 опа	      ^опа/*опа$ 
      2 Онищук	      ^Онищук/*Онищук$ 
      2 ольгин	      ^ольгин/*ольгин$ 
      2 Олбрайт	      ^Олбрайт/*Олбрайт$ 
      2 окулистический	      ^окулистический/*окулистический$ 
      2 ОКОНХ	      ^ОКОНХ/*ОКОНХ$ 
      2 околоядерный	      ^околоядерный/*околоядерный$ 
      2 Окб	      ^Окб/*Окб$ 
      2 однокоординатный	      ^однокоординатный/*однокоординатный$ 
      2 ОДКБ	      ^ОДКБ/*ОДКБ$ 
      2 одиннадцатимерный	      ^одиннадцатимерный/*одиннадцатимерный$ 
      2 огнезащищенность	      ^огнезащищенность/*огнезащищенность$ 
      2 оглядаться	      ^оглядаться/*оглядаться$ 
      2 ОВР	      ^ОВР/*ОВР$ 
      2 оволосение	      ^оволосение/*оволосение$ 
      2 ОВ	      ^ОВ/*ОВ$ 
      2 объесться	      ^объесться/*объесться$ 
      2 обчесться	      ^обчесться/*обчесться$ 
      2 облегченность	      ^облегченность/*облегченность$ 
      2 ОАЭ	      ^ОАЭ/*ОАЭ$ 
      2 Оаэ	      ^Оаэ/*Оаэ$ 
      2 Нэвий	      ^Нэвий/*Нэвий$ 
      2 Нью-Брансуик	      ^Нью-Брансуик/*Нью-Брансуик$ 
      2 НФ	      ^НФ/*НФ$ 
      2 Нулла	      ^Нулла/*Нулла$ 
      2 НТР	      ^НТР/*НТР$ 
      2 НПСР	      ^НПСР/*НПСР$ 
      2 нпро	      ^нпро/*нпро$ 
      2 номологический	      ^номологический/*номологический$ 
      2 Нокгс	      ^Нокгс/*Нокгс$ 
      2 новорус	      ^новорус/*новорус$ 
      2 новопутинский	      ^новопутинский/*новопутинский$ 
      2 нобелиана	      ^нобелиана/*нобелиана$ 
      2 ннц	      ^ннц/*ннц$ 
      2 НИИТО	      ^НИИТО/*НИИТО$ 
      2 нижнегорный	      ^нижнегорный/*нижнегорный$ 
      2 Нечитайло	      ^Нечитайло/*Нечитайло$ 
      2 Нефтеюганск	      ^Нефтеюганск/*Нефтеюганск$ 
      2 неформализованный	      ^неформализованный/*неформализованный$ 
      2 нефатальный	      ^нефатальный/*нефатальный$ 
      2 нет-нет	      ^нет/нет<ij>/нет<n><nt><nn><pl><acc>/нет<n><nt><nn><pl><dat>/нет<n><nt><nn><pl><gen>/нет<n><nt><nn><pl><ins>/нет<n><nt><nn><pl><nom>/нет<n><nt><nn><pl><prp>/нет<n><nt><nn><sg><acc>/нет<n><nt><nn><sg><dat>/нет<n><nt><nn><sg><gen>/нет<n><nt><nn><sg><ins>/нет<n><nt><nn><sg><nom>/нет<n><nt><nn><sg><prp>/нет<pred>$-^нет/нет<ij>/нет<n><nt><nn><pl><acc>/нет<n><nt><nn><pl><dat>/нет<n><nt><nn><pl><gen>/нет<n><nt><nn><pl><ins>/нет<n><nt><nn><pl><nom>/нет<n><nt><nn><pl><prp>/нет<n><nt><nn><sg><acc>/нет<n><nt><nn><sg><dat>/нет<n><nt><nn><sg><gen>/нет<n><nt><nn><sg><ins>/нет<n><nt><nn><sg><nom>/нет<n><nt><nn><sg><prp>/нет<pred>$ 
      2 несферический	      ^несферический/*несферический$ 
      2 несовпадающий	      ^несовпадающий/*несовпадающий$ 
      2 неслышащий	      ^неслышащий/*неслышащий$ 
      2 непсихологический	      ^непсихологический/*непсихологический$ 
      2 непроцедурный	      ^непроцедурный/*непроцедурный$ 
      2 непроективность	      ^непроективность/*непроективность$ 
      2 непредпринимательский	      ^непредпринимательский/*непредпринимательский$ 
      2 неосвоенный	      ^неосвоенный/*неосвоенный$ 
      2 неоплачиваемый	      ^неоплачиваемый/*неоплачиваемый$ 
      2 ненапрасный	      ^ненапрасный/*ненапрасный$ 
      2 Немов	      ^Немов/*Немов$ 
      2 неингаляционный	      ^неингаляционный/*неингаляционный$ 
      2 незащищенный	      ^незащищенный/*незащищенный$ 
      2 незащищенно	      ^незащищенно/*незащищенно$ 
      2 незаполненный	      ^незаполненный/*незаполненный$ 
      2 недополучение	      ^недополучение/*недополучение$ 
      2 недоношенный	      ^недоношенный/*недоношенный$ 
      2 недвойственность	      ^недвойственность/*недвойственность$ 
      2 невоспроизводимый	      ^невоспроизводимый/*невоспроизводимый$ 
      2 невидь	      ^невидь/*невидь$ 
      2 невдали	      ^невдали/*невдали$ 
      2 небеспочвенный	      ^небеспочвенный/*небеспочвенный$ 
      2 неаншлаговый	      ^неаншлаговый/*неаншлаговый$ 
      2 НД	      ^НД/*НД$ 
      2 Насер	      ^Насер/*Насер$ 
      2 населенческий	      ^населенческий/*населенческий$ 
      2 наркокурьер	      ^наркокурьер/*наркокурьер$ 
      2 нарисоваться	      ^нарисоваться/*нарисоваться$ 
      2 накшбанди	      ^накшбанди/*накшбанди$ 
      2 наклонясь	      ^наклонясь/*наклонясь$ 
      2 Назарчик	      ^Назарчик/*Назарчик$ 
      2 надойти	      ^надойти/*надойти$ 
      2 Нагорнова	      ^Нагорнова/*Нагорнова$ 
      2 Мюнхгаузен	      ^Мюнхгаузен/*Мюнхгаузен$ 
      2 Мыскина	      ^Мыскина/*Мыскина$ 
      2 МЧС	      ^МЧС/*МЧС$ 
      2 МФД-ИнфоЦентр	      ^МФД/*МФД$^-/-<guio>$^ИнфоЦентр/*ИнфоЦентр$ 
      2 МФБ	      ^МФБ/*МФБ$ 
      2 муромец	      ^муромец/*муромец$ 
      2 Му-Му	      ^Му/му²<ij>/му¹<n><nt><nn><pl><acc>/му¹<n><nt><nn><pl><dat>/му¹<n><nt><nn><pl><gen>/му¹<n><nt><nn><pl><ins>/му¹<n><nt><nn><pl><nom>/му¹<n><nt><nn><pl><prp>/му¹<n><nt><nn><sg><acc>/му¹<n><nt><nn><sg><dat>/му¹<n><nt><nn><sg><gen>/му¹<n><nt><nn><sg><ins>/му¹<n><nt><nn><sg><nom>/му¹<n><nt><nn><sg><prp>$^-/-<guio>$^Му/му²<ij>/му¹<n><nt><nn><pl><acc>/му¹<n><nt><nn><pl><dat>/му¹<n><nt><nn><pl><gen>/му¹<n><nt><nn><pl><ins>/му¹<n><nt><nn><pl><nom>/му¹<n><nt><nn><pl><prp>/му¹<n><nt><nn><sg><acc>/му¹<n><nt><nn><sg><dat>/му¹<n><nt><nn><sg><gen>/му¹<n><nt><nn><sg><ins>/му¹<n><nt><nn><sg><nom>/му¹<n><nt><nn><sg><prp>$ 
      2 мультиплексор	      ^мультиплексор/*мультиплексор$ 
      2 музей-заповедник	      ^музей/музей<n><m><nn><sg><acc>/музей<n><m><nn><sg><nom>$^-/-<guio>$^заповедник/заповедник<n><m><nn><sg><acc>/заповедник<n><m><nn><sg><nom>$ 
      2 мудак	      ^мудак/*мудак$ 
      2 МРМТ	      ^МРМТ/*МРМТ$ 
      2 мр	      ^мр/*мр$ 
      2 московия	      ^московия/*московия$ 
      2 Мосгордума	      ^Мосгордума/*Мосгордума$ 
      2 Моро	      ^Моро/*Моро$ 
      2 мо-поук	      ^мо/мо<n><nt><nn><pl><acc>/мо<n><nt><nn><pl><dat>/мо<n><nt><nn><pl><gen>/мо<n><nt><nn><pl><ins>/мо<n><nt><nn><pl><nom>/мо<n><nt><nn><pl><prp>/мо<n><nt><nn><sg><acc>/мо<n><nt><nn><sg><dat>/мо<n><nt><nn><sg><gen>/мо<n><nt><nn><sg><ins>/мо<n><nt><nn><sg><nom>/мо<n><nt><nn><sg><prp>$^-/-<guio>$^поук/*поук$ 
      2 Монтальва	      ^Монтальва/*Монтальва$ 
      2 монстера	      ^монстера/*монстера$ 
      2 моноэвристический	      ^моноэвристический/*моноэвристический$ 
      2 моногенез	      ^моногенез/*моногенез$ 
      2 монетаризация	      ^монетаризация/*монетаризация$ 
      2 Мона	      ^Мона/*Мона$ 
      2 моисеев	      ^моисеев/*моисеев$ 
      2 многофилиальный	      ^многофилиальный/*многофилиальный$ 
      2 многомерие	      ^многомерие/*многомерие$ 
      2 многознание	      ^многознание/*многознание$ 
      2 многоголосость	      ^многоголосость/*многоголосость$ 
      2 многоборка	      ^многоборка/*многоборка$ 
      2 МН	      ^МН/*МН$ 
      2 МКАД	      ^МКАД/*МКАД$ 
      2 Мишра	      ^Мишра/*Мишра$ 
      2 Минюст	      ^Минюст/*Минюст$ 
      2 миньонетт	      ^миньонетт/*миньонетт$ 
      2 Минсвязи	      ^Минсвязи/*Минсвязи$ 
      2 Минпромнауки	      ^Минпромнауки/*Минпромнауки$ 
      2 Милов	      ^Милов/*Милов$ 
      2 Милитарев	      ^Милитарев/*Милитарев$ 
      2 микроциркуляция	      ^микроциркуляция/*микроциркуляция$ 
      2 микроток	      ^микроток/*микроток$ 
      2 микротембральный	      ^микротембральный/*микротембральный$ 
      2 микрособытие	      ^микрособытие/*микрособытие$ 
      2 микропрограммный	      ^микропрограммный/*микропрограммный$ 
      2 микропрограмма	      ^микропрограмма/*микропрограмма$ 
      2 микроконтроллер	      ^микроконтроллер/*микроконтроллер$ 
      2 микроген	      ^микроген/*микроген$ 
      2 МИИТ	      ^МИИТ/*МИИТ$ 
      2 Мечислав	      ^Мечислав/*Мечислав$ 
      2 метрополис	      ^метрополис/*метрополис$ 
      2 метличка	      ^метличка/*метличка$ 
      2 метеоданные	      ^метеоданные/*метеоданные$ 
      2 метаязыковый	      ^метаязыковый/*метаязыковый$ 
      2 метасемиотика	      ^метасемиотика/*метасемиотика$ 
      2 метаморфный	      ^метаморфный/*метаморфный$ 
      2 Местлин	      ^Местлин/*Местлин$ 
      2 Меркадо	      ^Меркадо/*Меркадо$ 
      2 Меньшов	      ^Меньшов/*Меньшов$ 
      2 Менчинская	      ^Менчинская/*Менчинская$ 
      2 межфилиальный	      ^межфилиальный/*межфилиальный$ 
      2 между-жанровый	      ^между/между<pr>$^-/-<guio>$^жанровый/жанровый<adj><m><an><sg><nom>/жанровый<adj><m><nn><sg><acc>$ 
      2 медстрахование	      ^медстрахование/*медстрахование$ 
      2 мебелина	      ^мебелина/*мебелина$ 
      2 Мгимо	      ^Мгимо/*Мгимо$ 
      2 МВБ	      ^МВБ/*МВБ$ 
      2 мбайт	      ^мбайт/*мбайт$ 
      2 маяковская	      ^маяковская/*маяковская$ 
      2 Маттиас	      ^Маттиас/*Маттиас$ 
      2 Мателуна	      ^Мателуна/*Мателуна$ 
      2 Масхадов	      ^Масхадов/*Масхадов$ 
      2 Масуд	      ^Масуд/*Масуд$ 
      2 масса-медиа	      ^масса/масса<n><f><nn><sg><nom>$^-/-<guio>$^медиа/медиа<n><mfn><nn><pl><acc>/медиа<n><mfn><nn><pl><dat>/медиа<n><mfn><nn><pl><gen>/медиа<n><mfn><nn><pl><ins>/медиа<n><mfn><nn><pl><nom>/медиа<n><mfn><nn><pl><prp>$ 
      2 маски-шоу	      ^маски/маска<n><f><nn><pl><acc>/маска<n><f><nn><pl><nom>/маска<n><f><nn><sg><gen>$^-/-<guio>$^шоу/шоу<n><nt><nn><pl><acc>/шоу<n><nt><nn><pl><dat>/шоу<n><nt><nn><pl><gen>/шоу<n><nt><nn><pl><ins>/шоу<n><nt><nn><pl><nom>/шоу<n><nt><nn><pl><prp>/шоу<n><nt><nn><sg><acc>/шоу<n><nt><nn><sg><dat>/шоу<n><nt><nn><sg><gen>/шоу<n><nt><nn><sg><ins>/шоу<n><nt><nn><sg><nom>/шоу<n><nt><nn><sg><prp>$ 
      2 Марычева	      ^Марычева/*Марычева$ 
      2 Марчук	      ^Марчук/*Марчук$ 
      2 Мартинес	      ^Мартинес/*Мартинес$ 
      2 Марникс	      ^Марникс/*Марникс$ 
      2 Марлоу	      ^Марлоу/*Марлоу$ 
      2 маркхотский	      ^маркхотский/*маркхотский$ 
      2 Маркион	      ^Маркион/*Маркион$ 
      2 Марино	      ^Марино/*Марино$ 
      2 Маринина	      ^Маринина/*Маринина$ 
      2 Мари-Анн	      ^Мари/Мари<np><ant><f><pl><acc>/Мари<np><ant><f><pl><dat>/Мари<np><ant><f><pl><gen>/Мари<np><ant><f><pl><ins>/Мари<np><ant><f><pl><nom>/Мари<np><ant><f><pl><prp>/Мари<np><ant><f><sg><acc>/Мари<np><ant><f><sg><dat>/Мари<np><ant><f><sg><gen>/Мари<np><ant><f><sg><ins>/Мари<np><ant><f><sg><nom>/Мари<np><ant><f><sg><prp>/мари<n><f><aa><pl><acc>/мари<n><f><aa><pl><dat>/мари<n><f><aa><pl><gen>/мари<n><f><aa><pl><ins>/мари<n><f><aa><pl><nom>/мари<n><f><aa><pl><prp>/мари<n><f><aa><sg><acc>/мари<n><f><aa><sg><dat>/мари<n><f><aa><sg><gen>/мари<n><f><aa><sg><ins>/мари<n><f><aa><sg><nom>/мари<n><f><aa><sg><prp>/мари<n><m><aa><pl><acc>/мари<n><m><aa><pl><dat>/мари<n><m><aa><pl><gen>/мари<n><m><aa><pl><ins>/мари<n><m><aa><pl><nom>/мари<n><m><aa><pl><prp>/мари<n><m><aa><sg><acc>/мари<n><m><aa><sg><dat>/мари<n><m><aa><sg><gen>/мари<n><m><aa><sg><ins>/мари<n><m><aa><sg><nom>/мари<n><m><aa><sg><prp>/марь<n><f><nn><pl><acc>/марь<n><f><nn><pl><nom>/марь<n><f><nn><sg><dat>/марь<n><f><nn><sg><gen>/марь<n><f><nn><sg><prp>$^-/-<guio>$^Анн/Анна<np><ant><f><pl><acc>/Анна<np><ant><f><pl><gen>/Анна<np><ant><f><sg><voc>$ 
      2 маржинальный	      ^маржинальный/*маржинальный$ 
      2 мареков	      ^мареков/*мареков$ 
      2 МарГУ	      ^МарГУ/*МарГУ$ 
      2 мандукья-карика	      ^мандукья/*мандукья$-^карика/*карика$ 
      2 мандалай	      ^мандалай/*мандалай$ 
      2 Ман	      ^Ман/*Ман$ 
      2 мамочкин	      ^мамочкин/*мамочкин$ 
      2 Маминов	      ^Маминов/*Маминов$ 
      2 Мамбрин	      ^Мамбрин/*Мамбрин$ 
      2 мамалыжный	      ^мамалыжный/*мамалыжный$ 
      2 Малхаз	      ^Малхаз/*Малхаз$ 
      2 Малопольша	      ^Малопольша/*Малопольша$ 
      2 Малкович	      ^Малкович/*Малкович$ 
      2 Малингудис	      ^Малингудис/*Малингудис$ 
      2 Малафеев	      ^Малафеев/*Малафеев$ 
      2 малазийский	      ^малазийский/*малазийский$ 
      2 Мазур	      ^Мазур/*Мазур$ 
      2 Маецкий	      ^Маецкий/*Маецкий$ 
      2 Лэмберт	      ^Лэмберт/*Лэмберт$ 
      2 лэ	      ^лэ/*лэ$ 
      2 Лысенко	      ^Лысенко/*Лысенко$ 
      2 Лусия	      ^Лусия/*Лусия$ 
      2 Лукас	      ^Лукас/*Лукас$ 
      2 лузинский	      ^лузинский/*лузинский$ 
      2 Лузин	      ^Лузин/*Лузин$ 
      2 ЛТД	      ^ЛТД/*ЛТД$ 
      2 ЛСД	      ^ЛСД/*ЛСД$ 
      2 лофт	      ^лофт/*лофт$ 
      2 Логиновский	      ^Логиновский/*Логиновский$ 
      2 Логвинова	      ^Логвинова/*Логвинова$ 
      2 Ловен	      ^Ловен/*Ловен$ 
      2 Лобоцкий	      ^Лобоцкий/*Лобоцкий$ 
      2 Лиховцева	      ^Лиховцева/*Лиховцева$ 
      2 Лиффи	      ^Лиффи/*Лиффи$ 
      2 ЛИФО	      ^ЛИФО/*ЛИФО$ 
      2 ЛИТМО	      ^ЛИТМО/*ЛИТМО$ 
      2 Линер	      ^Линер/*Линер$ 
      2 либен	      ^либен/*либен$ 
      2 Лехнер	      ^Лехнер/*Лехнер$ 
      2 Лефортово	      ^Лефортово/*Лефортово$ 
      2 летчицкий	      ^летчицкий/*летчицкий$ 
      2 летось	      ^летось/*летось$ 
      2 Летельер	      ^Летельер/*Летельер$ 
      2 леп	      ^леп/*леп$ 
      2 леночкин	      ^леночкин/*леночкин$ 
      2 Ле-Ман	      ^Ле/*Ле$^-/-<guio>$^Ман/*Ман$ 
      2 лейхтенбергия	      ^лейхтенбергия/*лейхтенбергия$ 
      2 Лейнстер	      ^Лейнстер/*Лейнстер$ 
      2 Лейкис	      ^Лейкис/*Лейкис$ 
      2 ЛДПР	      ^ЛДПР/*ЛДПР$ 
      2 ЛГН-БМП	      ^ЛГН/*ЛГН$^-/-<guio>$^БМП/*БМП$ 
      2 Лашкина	      ^Лашкина/*Лашкина$ 
      2 ла-ла-ла	      ^ла/*ла$-^ла/*ла$-^ла/*ла$ 
      2 ладомир	      ^ладомир/*ладомир$ 
      2 Лагутенко	      ^Лагутенко/*Лагутенко$ 
      2 Кюри-Склодовская	      ^Кюри/Кюри<np><cog><f><sg><acc>/Кюри<np><cog><f><sg><dat>/Кюри<np><cog><f><sg><gen>/Кюри<np><cog><f><sg><ins>/Кюри<np><cog><f><sg><ins><fac>/Кюри<np><cog><f><sg><nom>/Кюри<np><cog><f><sg><prp>/Кюри<np><cog><m><sg><acc>/Кюри<np><cog><m><sg><dat>/Кюри<np><cog><m><sg><gen>/Кюри<np><cog><m><sg><ins>/Кюри<np><cog><m><sg><nom>/Кюри<np><cog><m><sg><prp>/Кюри<np><cog><mfn><pl><acc>/Кюри<np><cog><mfn><pl><dat>/Кюри<np><cog><mfn><pl><gen>/Кюри<np><cog><mfn><pl><ins>/Кюри<np><cog><mfn><pl><nom>/Кюри<np><cog><mfn><pl><prp>/кюри<n><m><nn><pl><acc>/кюри<n><m><nn><pl><dat>/кюри<n><m><nn><pl><gen>/кюри<n><m><nn><pl><ins>/кюри<n><m><nn><pl><nom>/кюри<n><m><nn><pl><prp>/кюри<n><m><nn><sg><acc>/кюри<n><m><nn><sg><dat>/кюри<n><m><nn><sg><gen>/кюри<n><m><nn><sg><ins>/кюри<n><m><nn><sg><nom>/кюри<n><m><nn><sg><prp>/кюри<n><nt><nn><pl><acc>/кюри<n><nt><nn><pl><dat>/кюри<n><nt><nn><pl><gen>/кюри<n><nt><nn><pl><ins>/кюри<n><nt><nn><pl><nom>/кюри<n><nt><nn><pl><prp>/кюри<n><nt><nn><sg><acc>/кюри<n><nt><nn><sg><dat>/кюри<n><nt><nn><sg><gen>/кюри<n><nt><nn><sg><ins>/кюри<n><nt><nn><sg><nom>/кюри<n><nt><nn><sg><prp>$-^Склодовская/*Склодовская$ 
      2 кэгэбэшник	      ^кэгэбэшник/*кэгэбэшник$ 
      2 КФО	      ^КФО/*КФО$ 
      2 курник	      ^курник/*курник$ 
      2 Куняев	      ^Куняев/*Куняев$ 
      2 культурогенез	      ^культурогенез/*культурогенез$ 
      2 Кулидж	      ^Кулидж/*Кулидж$ 
      2 куйнак	      ^куйнак/*куйнак$ 
      2 Куйбышев	      ^Куйбышев/*Куйбышев$ 
      2 Кудымкар	      ^Кудымкар/*Кудымкар$ 
      2 куды	      ^куды/*куды$ 
      2 Кудимова	      ^Кудимова/*Кудимова$ 
      2 Кувшиново	      ^Кувшиново/*Кувшиново$ 
      2 Кувичка	      ^Кувичка/*Кувичка$ 
      2 Куваев	      ^Куваев/*Куваев$ 
      2 кружевоплетение	      ^кружевоплетение/*кружевоплетение$ 
      2 кропиньный	      ^кропиньный/*кропиньный$ 
      2 кронастар	      ^кронастар/*кронастар$ 
      2 Криворучко	      ^Криворучко/*Криворучко$ 
      2 Кривокрасов	      ^Кривокрасов/*Кривокрасов$ 
      2 Креспо	      ^Креспо/*Креспо$ 
      2 Краевский	      ^Краевский/*Краевский$ 
      2 Кравцевич	      ^Кравцевич/*Кравцевич$ 
      2 Коуту	      ^Коуту/*Коуту$ 
      2 котовский	      ^котовский/*котовский$ 
      2 Коротков	      ^Коротков/*Коротков$ 
      2 Корнелюк	      ^Корнелюк/*Корнелюк$ 
      2 Кораблино	      ^Кораблино/*Кораблино$ 
      2 Копытов	      ^Копытов/*Копытов$ 
      2 Копылов	      ^Копылов/*Копылов$ 
      2 консервированный	      ^консервированный/*консервированный$ 
      2 Конрад	      ^Конрад/*Конрад$ 
      2 конвергировать	      ^конвергировать/*конвергировать$ 
      2 компьютеризовать	      ^компьютеризовать/*компьютеризовать$ 
      2 комодик	      ^комодик/*комодик$ 
      2 Колотухин	      ^Колотухин/*Колотухин$ 
      2 колоночка	      ^колоночка/*колоночка$ 
      2 Колин	      ^Колин/*Колин$ 
      2 Колесниченко	      ^Колесниченко/*Колесниченко$ 
      2 Козырев	      ^Козырев/*Козырев$ 
      2 Кознев	      ^Кознев/*Кознев$ 
      2 коготочек	      ^коготочек/*коготочек$ 
      2 Ковригин	      ^Ковригин/*Ковригин$ 
      2 Коваленко	      ^Коваленко/*Коваленко$ 
      2 Кобелев	      ^Кобелев/*Кобелев$ 
      2 Клипперс	      ^Клипперс/*Клипперс$ 
      2 Кичин	      ^Кичин/*Кичин$ 
      2 Китаенко	      ^Китаенко/*Китаенко$ 
      2 Киселева	      ^Киселева/*Киселева$ 
      2 Киркоров	      ^Киркоров/*Киркоров$ 
      2 кинопремия	      ^кинопремия/*кинопремия$ 
      2 килоампер	      ^килоампер/*килоампер$ 
      2 Кивилл	      ^Кивилл/*Кивилл$ 
      2 Кессельринг	      ^Кессельринг/*Кессельринг$ 
      2 Керчь	      ^Керчь/*Керчь$ 
      2 кеплеровский	      ^кеплеровский/*кеплеровский$ 
      2 Келер	      ^Келер/*Келер$ 
      2 Келвин	      ^Келвин/*Келвин$ 
      2 квартировладелец	      ^квартировладелец/*квартировладелец$ 
      2 Квартальнов	      ^Квартальнов/*Квартальнов$ 
      2 квантовать	      ^квантовать/*квантовать$ 
      2 Кванин	      ^Кванин/*Кванин$ 
      2 квазипериодический	      ^квазипериодический/*квазипериодический$ 
      2 квази-временный	      ^квази/*квази$^-/-<guio>$^временный/временный<adj><m><an><sg><nom>/временный<adj><m><nn><sg><acc>$ 
      2 кбайт	      ^кбайт/*кбайт$ 
      2 Каха	      ^Каха/*Каха$ 
      2 Катька	      ^Катька/*Катька$ 
      2 Катриша	      ^Катриша/*Катриша$ 
      2 катаерная	      ^катаерная/*катаерная$ 
      2 кастальский	      ^кастальский/*кастальский$ 
      2 Каспари	      ^Каспари/*Каспари$ 
      2 Карпычева	      ^Карпычева/*Карпычева$ 
      2 Каро-фильм	      ^Каро/*Каро$^-/-<guio>$^фильм/фильм<n><m><nn><sg><acc>/фильм<n><m><nn><sg><nom>/фильма<n><f><nn><pl><gen>$ 
      2 Кармен	      ^Кармен/*Кармен$ 
      2 карика	      ^карика/*карика$ 
      2 капсулированный	      ^капсулированный/*капсулированный$ 
      2 Каприати	      ^Каприати/*Каприати$ 
      2 Камышев	      ^Камышев/*Камышев$ 
      2 Камшилов	      ^Камшилов/*Камшилов$ 
      2 Камрань	      ^Камрань/*Камрань$ 
      2 Каммерер	      ^Каммерер/*Каммерер$ 
      2 Камишка	      ^Камишка/*Камишка$ 
      2 Камал	      ^Камал/*Камал$ 
      2 калоша	      ^калоша/*калоша$ 
      2 калашинский	      ^калашинский/*калашинский$ 
      2 Кайкан	      ^Кайкан/*Кайкан$ 
      2 Йоко	      ^Йоко/*Йоко$ 
      2 йог-сутра	      ^йог/йог<n><m><aa><sg><nom>/йога<n><f><nn><pl><gen>$-^сутра/сутра<n><f><nn><sg><nom>$ 
      2 йога-сутра	      ^йога/йог<n><m><aa><sg><acc>/йог<n><m><aa><sg><gen>/йога<n><f><nn><sg><nom>$-^сутра/сутра<n><f><nn><sg><nom>$ 
      2 Йович	      ^Йович/*Йович$ 
      2 й	      ^й/*й$ 
      2 Ишутин	      ^Ишутин/*Ишутин$ 
      2 ИЧП	      ^ИЧП/*ИЧП$ 
      2 Итум-Кала	      ^Итум/*Итум$-^Кала/кал<n><m><nn><sg><gen>$ 
      2 истрепать	      ^истрепать/*истрепать$ 
      2 источниковый	      ^источниковый/*источниковый$ 
      2 иси	      ^иси/*иси$ 
      2 Иршенкова	      ^Иршенкова/*Иршенкова$ 
      2 интубационный	      ^интубационный/*интубационный$ 
      2 интерферонотерапия	      ^интерферонотерапия/*интерферонотерапия$ 
      2 интернетчик	      ^интернетчик/*интернетчик$ 
      2 интернет-торговля	      ^интернет/*интернет$-^торговля/торговля<n><f><nn><sg><nom>$ 
      2 интернет-сми	      ^интернет/*интернет$-^сми/*сми$ 
      2 интернет-сервер	      ^интернет/*интернет$-^сервер/сервер<n><m><aa><sg><nom>/сервер<n><m><nn><sg><acc>/сервер<n><m><nn><sg><nom>$ 
      2 интернет-сделка	      ^интернет/*интернет$-^сделка/сделка<n><f><nn><sg><nom>$ 
      2 интернет-сайт	      ^интернет/*интернет$-^сайт/сайт<n><m><nn><sg><acc>/сайт<n><m><nn><sg><nom>$ 
      2 интернет-рынок	      ^интернет/*интернет$^-/-<guio>$^рынок/рынок<n><m><nn><sg><acc>/рынок<n><m><nn><sg><nom>$ 
      2 интернет-реклама	      ^интернет/*интернет$^-/-<guio>$^реклама/реклама<n><f><nn><sg><nom>$ 
      2 интернет-маркетинг	      ^интернет/*интернет$^-/-<guio>$^маркетинг/маркетинг<n><m><nn><sg><acc>/маркетинг<n><m><nn><sg><nom>$ 
      2 интердисциплинарный	      ^интердисциплинарный/*интердисциплинарный$ 
      2 инжировой	      ^инжировой/*инжировой$ 
      2 Ингельхайм	      ^Ингельхайм/*Ингельхайм$ 
      2 иммунопатологический	      ^иммунопатологический/*иммунопатологический$ 
      2 и-магазин	      ^и/и<adv>/и<cnjcoo>/и²<n><nt><nn><pl><acc>/и²<n><nt><nn><pl><dat>/и²<n><nt><nn><pl><gen>/и²<n><nt><nn><pl><ins>/и²<n><nt><nn><pl><nom>/и²<n><nt><nn><pl><prp>/и²<n><nt><nn><sg><acc>/и²<n><nt><nn><sg><dat>/и²<n><nt><nn><sg><gen>/и²<n><nt><nn><sg><ins>/и²<n><nt><nn><sg><nom>/и²<n><nt><nn><sg><prp>/и¹<ij>$^-/-<guio>$^магазин/магазин<n><m><nn><sg><acc>/магазин<n><m><nn><sg><nom>$ 
